raw_timestamp,timestamp_fcst,timestamp_est,VIS_surface_anl,GUST_surface_anl,PRES_surface_anl,HGT_surface_anl,TMP_surface_anl,CNWAT_surface_anl,WEASD_surface_anl,SNOWC_surface_anl,SNOD_surface_anl,TMP_2 m above ground_anl,POT_2 m above ground_anl,SPFH_2 m above ground_anl,DPT_2 m above ground_anl,RH_2 m above ground_anl,UGRD_10 m above ground_anl,VGRD_10 m above ground_anl,WIND_10 m above ground_0-0 day max fcst,MAXUW_10 m above ground_0-0 day max fcst,MAXVW_10 m above ground_0-0 day max fcst,CPOFP_surface_anl,PRATE_surface_anl,CSNOW_surface_anl,CICEP_surface_anl,CFRZR_surface_anl,CRAIN_surface_anl,SFCR_surface_anl,FRICV_surface_anl,SHTFL_surface_anl,LHTFL_surface_anl,GFLUX_surface_anl,VGTYP_surface_anl,CAPE_surface_anl,CIN_surface_anl,DSWRF_surface_anl,DLWRF_surface_anl,USWRF_surface_anl,ULWRF_surface_anl,VBDSF_surface_anl,VDDSF_surface_anl,HPBL_surface_anl
2018-12-01,2018-12-01,2018-11-30 19:00:00,300,3.85711,99020,236.714,1.0540000000000305,0,0,0,0,273.927,274.73,0.00383,273.135,94.6,-1.97286,-0.704313,2.06471,-1.97286,-0.704313,-50,0,0,0,0,0,0.2512,0.14,6,7,-10,14,0,0,0,317.7,0,294.915,0,0,92.8308
2018-12-01 01:00:00,2018-12-01 01:00:00,2018-11-30 20:00:00,300,4.54949,99050,236.714,0.7950000000000159,0,0,0,0,273.834,274.584,0.0038,273,94,-2.24579,-0.113251,2.25599,-2.24579,-0.113251,-50,0,0,0,0,0,0.2508,0.15,3,6,0,14,0,0,0,317.2,0,293.845,0,0,217.747
2018-12-01 02:00:00,2018-12-01 02:00:00,2018-11-30 21:00:00,300,3.79492,99080,236.714,0.6400000000000432,0,0,0,0,273.613,274.389,0.00381,273.015,95.8,-2.12343,0.312635,2.12776,-2.12343,0.312635,-50,0,0,0,0,0,0.2508,0.15,3,5,0,14,0,0,0,316.6,0,293.174,0,0,163.74
2018-12-01 03:00:00,2018-12-01 03:00:00,2018-11-30 22:00:00,300,3.70041,99070,236.714,0.5120000000000005,0,0,0,0,273.497,274.236,0.00383,273.067,97.5,-2.10905,0.20541,2.12593,-2.10905,0.20541,-50,0,0,0,0,0,0.2508,0.15,4,4,0,14,0,0,0,316.3,0,292.694,0,0,95.0373
2018-12-01 04:00:00,2018-12-01 04:00:00,2018-11-30 23:00:00,200,5.58824,99030,236.714,0.47900000000004184,0,0,0,0,273.463,274.225,0.00385,273.186,97.9,-2.51302,-0.123819,2.50366,-2.51302,-0.123819,-50,0,0,0,0,0,0.2508,0.17,3,3,0,14,0,-1,0,316.1,0,292.424,0,0,212.868
2018-12-01 05:00:00,2018-12-01 05:00:00,2018-12-01,300,4.95921,99020,236.714,0.38800000000003365,0,0,0,0,273.471,274.229,0.00378,272.903,96,-3.21231,0.276987,3.19251,-3.21231,0.276987,-50,0,0,0,0,0,0.2508,0.22,1,5,0,14,0,0,0,316.2,0,291.968,0,0,90.0424
2018-12-01 06:00:00,2018-12-01 06:00:00,2018-12-01 01:00:00,300,7.79964,98980,236.714,0.382000000000005,0,0,0,0,273.466,274.3,0.00379,272.948,96.3,-3.77862,-0.258215,3.75323,-3.77862,-0.258215,-50,0,0,0,0,0,0.2508,0.25,2,5,0,14,0,0,0,316.1,0,291.875,0,0,86.9013
2018-12-01 07:00:00,2018-12-01 07:00:00,2018-12-01 02:00:00,300,8.80526,98890,236.714,0.367999999999995,0,0,0,0,273.58,274.469,0.00381,273.015,95.6,-3.999,-0.460835,4.00093,-3.999,-0.460835,-50,0,0,0,0,0,0.2508,0.27,-2,5,0,14,0,0,0,316.5,0,292.028,0,0,136.042
2018-12-01 08:00:00,2018-12-01 08:00:00,2018-12-01 03:00:00,300,10.115,98800,236.714,0.42600000000004457,0,0,0,0,273.472,274.477,0.0038,272.937,96.1,-4.92357,-0.3922,4.9399,-4.92357,-0.3922,-50,0,0,0,0,0,0.2508,0.34,2,7,0,14,0,0,0,316,0,292.155,0,0,159.836
2018-12-01 09:00:00,2018-12-01 09:00:00,2018-12-01 04:00:00,300,9.79646,98780,236.714,0.4370000000000118,0,0,0,0,273.579,274.555,0.00383,273.056,96,-4.40192,-0.744516,4.43861,-4.40192,-0.744516,-50,0,0,0,0,0,0.2508,0.3,-1,5,0,14,0,0,0,316.5,0,292.164,0,0,165.066
2018-12-01 10:00:00,2018-12-01 10:00:00,2018-12-01 05:00:00,300,10.874,98710,236.714,0.4870000000000232,0,0,0,0,273.642,274.675,0.00389,273.284,96.7,-4.84163,-1.04741,4.93878,-4.84163,-1.04741,-50,0,0,0,0,0,0.2508,0.33,-3,4,0,14,0,0,0,317.2,0,292.333,0,0,148.705
2018-12-01 11:00:00,2018-12-01 11:00:00,2018-12-01 06:00:00,300,9.5739,98590,236.714,0.55600000000004,0,0,0,0,273.696,274.799,0.00391,273.305,97.3,-5.3932,-1.29059,5.50118,-5.3932,-1.29059,-50,0,0,0,0,0,0.2508,0.37,1,4,0,14,0,0,0,316.8,0,292.772,0,0,135.939
2018-12-01 12:00:00,2018-12-01 12:00:00,2018-12-01 07:00:00,200,11.8843,98490,236.714,0.7630000000000337,0,0,0,0,273.872,275.126,0.00399,273.558,97.5,-5.77128,-1.29028,5.87739,-5.77128,-1.29028,-50,0,0,0,0,0,0.2508,0.4,0,4,0,14,0,0,0,317.7,0,293.616,0,0,172.068
2018-12-01 13:00:00,2018-12-01 13:00:00,2018-12-01 08:00:00,200,11.7334,98420,236.714,0.8799999999999955,0,0,0,0,274.102,275.363,0.0041,273.925,98.8,-6.31754,-0.88349,6.37728,-6.31754,-0.88349,-50,0,0,0,0,0,0.2508,0.43,-2,1,0,14,0,0,0.2,318.8,0,294.198,0,0.2,205.269
2018-12-01 14:00:00,2018-12-01 14:00:00,2018-12-01 09:00:00,300,12.2126,98400,236.714,1.497000000000014,0,0,0,0,274.675,275.964,0.00423,274.41,97.4,-5.50843,-2.12596,5.94386,-5.50843,-2.12596,-50,0,0,0,0,0,0.2508,0.4,-3,3,-10,14,0,0,0.6,320.6,0.125,296.944,0,0.6,175.489
2018-12-01 15:00:00,2018-12-01 15:00:00,2018-12-01 10:00:00,300,13.543,98350,236.714,2.5960000000000036,0,0,0,0,275.09,276.421,0.00422,274.349,96.1,-7.10738,-2.40061,7.50423,-7.10738,-2.40061,-50,0,0,0,0,0,0.2508,0.52,38,28,-20,14,0,0,0.9,321.1,0.125,301.448,0,0.9,143.928
2018-12-01 16:00:00,2018-12-01 16:00:00,2018-12-01 11:00:00,7700,13.154,98200,236.714,2.302000000000021,0,0,0,0,275.229,276.657,0.00429,274.535,95.6,-5.96446,-1.9766,6.31448,-5.96446,-1.9766,-50,0,0,0,0,0,0.2508,0.43,10,18,-20,14,0,0,1.5,321.8,0.125,300.23,0,1.5,182.825
2018-12-01 17:00:00,2018-12-01 17:00:00,2018-12-01 12:00:00,4000,9.75132,98120,236.714,2.1380000000000337,0.1,0,0,0,275.423,276.922,0.00438,274.826,95.3,-6.20567,-0.150072,6.19056,-6.20567,-0.150072,-50,0,0,0,0,0,0.2508,0.42,-7,10,-20,14,0,0,1.5,322.5,0.125,299.472,0,1.5,188.087
2018-12-01 18:00:00,2018-12-01 18:00:00,2018-12-01 13:00:00,6000,11.2789,97900,236.714,2.742999999999995,0.2,0,0,0,275.871,277.567,0.00452,275.234,95.1,-5.65436,-0.694706,5.6883,-5.65436,-0.694706,-50,0,0,0,0,0,0.2508,0.39,0,10,-20,14,0,0,1,325.3,0.125,302.311,0,1,151.096
2018-12-01 19:00:00,2018-12-01 19:00:00,2018-12-01 14:00:00,12300,12.9023,97780,236.714,3.605000000000018,0.2,0,0,0,276.338,278.158,0.00462,275.487,94.9,-6.59402,-1.42924,6.75631,-6.59402,-1.42924,-50,0,0,0,0,0,0.2508,0.46,22,30,-30,14,0,0,7.2,327,0.875,306.109,0,7.2,180.622
2018-12-01 20:00:00,2018-12-01 20:00:00,2018-12-01 15:00:00,3300,14.2683,97480,236.714,3.6779999999999973,0.2,0,0,0,276.633,278.685,0.00472,275.773,94.2,-7.21424,-1.15609,7.31558,-7.21424,-1.15609,-50,0,0,0,0,0,0.2508,0.5,8,26,-10,14,0,0,2,328.4,0.25,306.274,0,2,194.795
