raw_timestamp,timestamp_fcst,timestamp_est,VIS_surface_10 hour fcst,GUST_surface_10 hour fcst,PRES_surface_10 hour fcst,HGT_surface_10 hour fcst,TMP_surface_10 hour fcst,CNWAT_surface_10 hour fcst,WEASD_surface_10 hour fcst,SNOWC_surface_10 hour fcst,SNOD_surface_10 hour fcst,TMP_2 m above ground_10 hour fcst,POT_2 m above ground_10 hour fcst,SPFH_2 m above ground_10 hour fcst,DPT_2 m above ground_10 hour fcst,RH_2 m above ground_10 hour fcst,UGRD_10 m above ground_10 hour fcst,VGRD_10 m above ground_10 hour fcst,WIND_10 m above ground_9-10 hour max fcst,MAXUW_10 m above ground_9-10 hour max fcst,MAXVW_10 m above ground_9-10 hour max fcst,CPOFP_surface_10 hour fcst,PRATE_surface_10 hour fcst,CSNOW_surface_10 hour fcst,CICEP_surface_10 hour fcst,CFRZR_surface_10 hour fcst,CRAIN_surface_10 hour fcst,SFCR_surface_10 hour fcst,FRICV_surface_10 hour fcst,SHTFL_surface_10 hour fcst,LHTFL_surface_10 hour fcst,GFLUX_surface_10 hour fcst,VGTYP_surface_10 hour fcst,CAPE_surface_10 hour fcst,CIN_surface_10 hour fcst,DSWRF_surface_10 hour fcst,DLWRF_surface_10 hour fcst,USWRF_surface_10 hour fcst,ULWRF_surface_10 hour fcst,VBDSF_surface_10 hour fcst,VDDSF_surface_10 hour fcst,HPBL_surface_10 hour fcst
2018-12-01,2018-12-01 10:00:00,2018-12-01 05:00:00,300,11.7981,98120,262.714,3.0610000000000355,0,0,0,0,276.22,277.779,0.00483,276.2,99.2,-5.86602,-0.378601,5.94167,-5.87285,-0.583591,-50,0,0,0,0,0,0.0881,0.49,-3,0,-4,12,0,0,0,329,0,308.55,0,0,313.806
2018-12-01 01:00:00,2018-12-01 11:00:00,2018-12-01 06:00:00,300,12.4815,98040,262.714,3.348000000000013,0,0,0,0,276.584,278.188,0.00496,276.587,99.4,-5.95759,-0.379568,6.75726,-6.77484,-0.629568,-50,0,0,0,0,0,0.0875,0.5,-4,-10,-8,12,0,0,0,330.9,0,309.855,0,0,326.874
2018-12-01 02:00:00,2018-12-01 12:00:00,2018-12-01 07:00:00,900,16.5692,97810,262.714,3.7170000000000414,0,0,0,0,277.047,278.811,0.00508,276.834,98.1,-9.01006,-1.34661,9.08241,-8.96783,-1.34921,0,0.0002,0,0,0,1,0.0875,0.76,-11,0,-13,12,0,0,0,332.7,0,311.515,0,0,272.901
2018-12-01 03:00:00,2018-12-01 13:00:00,2018-12-01 08:00:00,3000,12.8377,97800,262.714,3.897000000000048,0,0,0,0,277.351,279.142,0.00512,276.977,96.8,-6.32532,0.0132179,7.48951,-7.42449,-0.833714,0,0.0021,0,0,0,1,0.0875,0.53,-13,0,-15,12,0,0,0,336.1,0,312.488,0,0,355.654
2018-12-01 04:00:00,2018-12-01 14:00:00,2018-12-01 09:00:00,4300,14.7874,97680,262.714,4.744000000000028,0.1,0,0,0,278.15,280.014,0.00539,277.676,96,-8.27908,0.686743,8.29151,-8.28571,0.70039,0,0.0012,0,0,0,1,0.0875,0.7,-15,10,-31,12,0,0,23.4,338.8,2.875,316.294,0,23.4,463.589
2018-12-01 05:00:00,2018-12-01 15:00:00,2018-12-01 10:00:00,4200,12.8963,97700,262.714,4.918000000000006,0.1,0,0,0,278.444,280.345,0.00551,278.025,96,-6.89125,1.01994,8.5518,-8.54945,0.163023,0,0.0013,0,0,0,1,0.0875,0.58,-20,0,-29,12,0,0,9.4,338.1,1.125,316.973,0,9.4,476.189
2018-12-01 06:00:00,2018-12-01 16:00:00,2018-12-01 11:00:00,5200,14.3084,97620,262.714,6.411000000000001,0.1,0,0,0,279.643,281.546,0.00597,279.116,96.2,-7.96607,0.757311,8.31184,-8.32874,0.0848846,0,0.001,0,0,0,1,0.0875,0.68,-6,10,-55,12,0,0,82,343.9,10.25,323.714,0,82,457.716
2018-12-01 07:00:00,2018-12-01 17:00:00,2018-12-01 12:00:00,12300,14.9488,97400,262.714,6.838999999999999,0.1,0,0,0,280.165,282.329,0.00614,279.488,94.8,-7.25631,1.42279,11.4262,-11.2989,1.63629,-50,0,0,0,0,1,0.0875,0.62,-12,20,-29,12,0,0,35.3,346.2,4.375,325.779,0,35.3,464.89
2018-12-01 08:00:00,2018-12-01 18:00:00,2018-12-01 13:00:00,12200,14.5551,97310,262.714,9.182000000000016,0.1,0,0,0,281.756,283.968,0.00687,281.118,96.5,-6.90244,2.28963,9.20743,-9.15707,1.20904,-50,0,0,0,0,1,0.0875,0.62,32,62.2773,-103,12,0,0,256.5,335.6,32.125,336.975,0,256.4,453.392
2018-12-01 09:00:00,2018-12-01 19:00:00,2018-12-01 14:00:00,12700,15.5901,97060,262.714,9.212000000000046,0.1,0,0,0,282.728,285.159,0.00726,281.921,93.6,-7.80727,3.54512,8.60647,-7.86636,3.4778,-50,0,0,0,0,1,0.0875,0.72,-23,20,-69,12,0,0,80,358.4,10,336.965,0,80,466.41
