raw_timestamp,timestamp_fcst,timestamp_est,VIS_surface_anl,GUST_surface_anl,PRES_surface_anl,HGT_surface_anl,TMP_surface_anl,CNWAT_surface_anl,WEASD_surface_anl,SNOWC_surface_anl,SNOD_surface_anl,TMP_2 m above ground_anl,POT_2 m above ground_anl,SPFH_2 m above ground_anl,DPT_2 m above ground_anl,RH_2 m above ground_anl,UGRD_10 m above ground_anl,VGRD_10 m above ground_anl,WIND_10 m above ground_0-0 day max fcst,MAXUW_10 m above ground_0-0 day max fcst,MAXVW_10 m above ground_0-0 day max fcst,CPOFP_surface_anl,PRATE_surface_anl,CSNOW_surface_anl,CICEP_surface_anl,CFRZR_surface_anl,CRAIN_surface_anl,SFCR_surface_anl,FRICV_surface_anl,SHTFL_surface_anl,LHTFL_surface_anl,GFLUX_surface_anl,VGTYP_surface_anl,CAPE_surface_anl,CIN_surface_anl,DSWRF_surface_anl,DLWRF_surface_anl,USWRF_surface_anl,ULWRF_surface_anl,VBDSF_surface_anl,VDDSF_surface_anl,HPBL_surface_anl
2018-12-01,2018-12-01,2018-11-30 19:00:00,14100,6.35711,98390,273.995,7.1790000000000305,0,0,0,0,280.49,281.792,0.00589,279.072,90,-2.41036,-0.454313,2.43971,-2.41036,-0.454313,-50,0,0,0,0,0,0.2681,0.14,-3,9,0,12,0,0,0,340.3,0,327.54,0,0,141.643
2018-12-01 01:00:00,2018-12-01 01:00:00,2018-11-30 20:00:00,13600,6.79949,98410,273.995,6.983000000000004,0,0,0,0,280.272,281.584,0.00586,279,90.9,-2.93329,0.0117493,2.88099,-2.93329,0.0117493,-50,0,0,0,0,0,0.2679,0.17,-4,9,0,12,0,-2,0,347.1,0,326.47,0,0,115.622
2018-12-01 02:00:00,2018-12-01 02:00:00,2018-11-30 21:00:00,4100,8.04492,98420,273.995,6.826999999999998,0,0,0,0,279.988,281.264,0.00586,279.015,93,-3.06093,-0.124865,3.06526,-3.06093,-0.124865,-50,0,0,0,0,0,0.2679,0.19,-1,9,0,12,0,0,0,345.2,0,325.799,0,0,254.927
2018-12-01 03:00:00,2018-12-01 03:00:00,2018-11-30 22:00:00,300,8.51291,98380,273.995,6.6370000000000005,0,0,0,0,279.809,281.173,0.00584,278.942,93.8,-3.67155,0.01791,3.68843,-3.67155,0.01791,-50,0,0,0,0,0,0.2679,0.23,-1,9,10,12,0,0,0,344.4,0,324.944,0,0,266.912
2018-12-01 04:00:00,2018-12-01 04:00:00,2018-11-30 23:00:00,300,8.90074,98330,273.995,6.415999999999997,0,0,0,0,279.588,280.913,0.00581,278.874,95,-3.63802,-0.123819,3.69116,-3.63802,-0.123819,-50,0,0,0,0,0,0.2679,0.23,0,7,10,12,0,0,0,344.2,0,323.924,0,0,233.056
2018-12-01 05:00:00,2018-12-01 05:00:00,2018-12-01,300,8.89671,98320,273.995,6.388000000000034,0,0,0,0,279.534,280.916,0.00579,278.778,94.5,-3.96231,0.0894871,3.94251,-3.96231,0.0894871,-50,0,0,0,0,0,0.2679,0.25,-2,8,10,12,0,0,0,343.5,0,323.593,0,0,221.417
2018-12-01 06:00:00,2018-12-01 06:00:00,2018-12-01 01:00:00,300,9.48714,98220,273.995,6.382000000000005,0,0,0,0,279.591,281.05,0.00576,278.698,93.7,-4.15362,0.054285,4.12823,-4.15362,0.054285,-50,0,0,0,0,0,0.2679,0.26,-3,9,20,12,0,0,0,339.6,0,323.625,0,0,141.964
2018-12-01 07:00:00,2018-12-01 07:00:00,2018-12-01 02:00:00,300,10.1803,98080,273.995,6.18100000000004,0,0,0,0,279.393,280.969,0.00571,278.578,93.8,-4.624,-0.0858345,4.62593,-4.624,-0.0858345,-50,0,0,0,0,0,0.2679,0.29,-3,10,10,12,0,0,0,339.9,0,322.778,0,0,127.292
2018-12-01 08:00:00,2018-12-01 08:00:00,2018-12-01 03:00:00,300,10.8025,98000,273.995,6.2379999999999995,0,0,0,0,279.409,281.102,0.00571,278.562,93.7,-4.36107,-0.2672,4.3774,-4.36107,-0.2672,-50,0,0,0,0,0,0.2679,0.27,-2,10,0,12,0,0,0,344.3,0,323.03,0,0,168.648
2018-12-01 09:00:00,2018-12-01 09:00:00,2018-12-01 04:00:00,300,13.109,97870,273.995,6.187000000000012,0,0,0,0,279.454,281.18,0.00578,278.681,94.4,-5.46442,-0.557016,5.50111,-5.46442,-0.557016,-50,0,0,0,0,0,0.2679,0.34,-5,9,0,12,0,0,0,341.5,0,322.914,0,0,166.004
2018-12-01 10:00:00,2018-12-01 10:00:00,2018-12-01 05:00:00,300,14.124,97820,273.995,6.237000000000023,0,0,0,0,279.33,281.112,0.00576,278.659,95.3,-4.65413,-0.547407,4.68878,-4.65413,-0.547407,-50,0,0,0,0,0,0.2679,0.29,0,10,0,12,0,0,0,343.9,0,322.833,0,0,176.955
2018-12-01 11:00:00,2018-12-01 11:00:00,2018-12-01 06:00:00,300,13.1989,97750,273.995,5.93100000000004,0.1,0,0,0,279.196,281.049,0.00575,278.617,95.3,-4.2682,-0.790594,4.37618,-4.2682,-0.790594,-50,0,0,0,0,0,0.2679,0.27,-5,8,0,12,0,0,0,343.9,0,321.647,0,0,177.376
2018-12-01 12:00:00,2018-12-01 12:00:00,2018-12-01 07:00:00,1900,11.3218,97660,273.995,6.138000000000034,0.1,0,0,0,279.747,281.689,0.00596,279.12,94.5,-7.83378,-0.102779,7.87739,-7.83378,-0.102779,-50,0,0,0,0,0,0.2679,0.49,-25,3,-20,12,0,0,0,347.9,0,322.616,0,0,69.7552
2018-12-01 13:00:00,2018-12-01 13:00:00,2018-12-01 08:00:00,12200,15.8584,97550,273.995,6.817000000000007,0.2,0,0,0,280.102,282.113,0.00608,279.362,94.9,-7.56754,1.11651,7.68978,-7.56754,1.11651,-50,0,0,0,0,0,0.2679,0.48,-7,16,-10,12,0,0,0.3,346.1,0,325.698,0,0.3,175.456
2018-12-01 14:00:00,2018-12-01 14:00:00,2018-12-01 09:00:00,300,12.9001,97640,273.995,7.184000000000026,0.2,0,0,0,280.363,282.277,0.00624,279.785,95.9,-5.13343,-0.438459,5.13136,-5.13343,-0.438459,-50,0,0,0,0,0,0.2679,0.32,-2,12,-20,12,0,0,1.2,346.4,0.125,327.444,0,1.2,196.614
2018-12-01 15:00:00,2018-12-01 15:00:00,2018-12-01 10:00:00,300,9.91803,97550,273.995,7.409000000000049,0.2,0,0,0,281.027,283.046,0.00649,280.349,94.3,-4.48238,1.53689,4.69173,-4.48238,1.53689,-50,0,0,0,0,0,0.2679,0.29,-16,3,-10,12,0,0,3.7,353,0.5,328.573,0,3.7,100.491
2018-12-01 16:00:00,2018-12-01 16:00:00,2018-12-01 11:00:00,11800,9.154,97420,273.995,8.052000000000021,0.3,0,0,0,281.729,283.844,0.00688,281.16,94.7,-3.77696,1.8984,4.25198,-3.77696,1.8984,-50,0,0,0,0,0,0.2679,0.25,-17,-3,-20,12,0,0,11.5,354.7,1.625,331.48,0,11.5,107.012
2018-12-01 17:00:00,2018-12-01 17:00:00,2018-12-01 12:00:00,300,13.6888,97270,273.995,9.513000000000034,0.3,0,0,0,282.861,285.172,0.00748,282.389,95.9,-4.83067,3.66243,6.06556,-4.83067,3.66243,-50,0,0,0,0,0,0.2679,0.38,-10,5,-30,12,0,0,8,360.9,1.125,338.597,0,8,202.775
2018-12-01 18:00:00,2018-12-01 18:00:00,2018-12-01 13:00:00,12200,15.4664,97070,273.995,11.055000000000007,0.3,0,0,0,284.309,286.754,0.0082,283.734,95.4,-5.71686,4.99279,7.5633,-5.71686,4.99279,-50,0,0,0,0,0,0.2679,0.47,-7,10,-30,12,10,0,18.6,365,2.5,345.936,0,18.6,271.034
2018-12-01 19:00:00,2018-12-01 19:00:00,2018-12-01 14:00:00,13000,15.0273,96900,273.995,12.230000000000018,0.3,0,0,0,285.025,287.596,0.00828,283.8,92.9,-6.59402,5.82076,8.75631,-6.59402,5.82076,-50,0,0,0,0,0,0.2679,0.55,21,70,-40,12,0,0,13.9,368.5,1.875,351.609,0,13.9,249.435
