raw_timestamp,timestamp_fcst,timestamp_est,VIS_surface_9 hour fcst,GUST_surface_9 hour fcst,PRES_surface_9 hour fcst,HGT_surface_9 hour fcst,TMP_surface_9 hour fcst,CNWAT_surface_9 hour fcst,WEASD_surface_9 hour fcst,SNOWC_surface_9 hour fcst,SNOD_surface_9 hour fcst,TMP_2 m above ground_9 hour fcst,POT_2 m above ground_9 hour fcst,SPFH_2 m above ground_9 hour fcst,DPT_2 m above ground_9 hour fcst,RH_2 m above ground_9 hour fcst,UGRD_10 m above ground_9 hour fcst,VGRD_10 m above ground_9 hour fcst,WIND_10 m above ground_8-9 hour max fcst,MAXUW_10 m above ground_8-9 hour max fcst,MAXVW_10 m above ground_8-9 hour max fcst,CPOFP_surface_9 hour fcst,PRATE_surface_9 hour fcst,CSNOW_surface_9 hour fcst,CICEP_surface_9 hour fcst,CFRZR_surface_9 hour fcst,CRAIN_surface_9 hour fcst,SFCR_surface_9 hour fcst,FRICV_surface_9 hour fcst,SHTFL_surface_9 hour fcst,LHTFL_surface_9 hour fcst,GFLUX_surface_9 hour fcst,VGTYP_surface_9 hour fcst,CAPE_surface_9 hour fcst,CIN_surface_9 hour fcst,DSWRF_surface_9 hour fcst,DLWRF_surface_9 hour fcst,USWRF_surface_9 hour fcst,ULWRF_surface_9 hour fcst,VBDSF_surface_9 hour fcst,VDDSF_surface_9 hour fcst,HPBL_surface_9 hour fcst
2018-12-01,2018-12-01 09:00:00,2018-12-01 04:00:00,600,11.7126,98450,244.058,2.891999999999996,0,0,0,0,276.115,277.342,0.00472,275.924,98.2,-5.87503,1.03356,6.90473,-6.87503,0.195467,-50,0,0,0,0,0,0.0916,0.5,-4,0,0,12,0,0,0,326.8,0,307.749,0,0,310.803
2018-12-01 01:00:00,2018-12-01 10:00:00,2018-12-01 05:00:00,900,12.6522,98290,244.058,3.1310000000000286,0,0,0,0,276.414,277.756,0.0048,276.095,97.6,-6.54399,0.81604,6.99375,-6.98149,-0.173464,-50,0,0,0,0,0,0.0914,0.56,-7,0,-3,12,0,0,0,329.2,0,308.907,0,0,310.33
2018-12-01 02:00:00,2018-12-01 11:00:00,2018-12-01 06:00:00,200,14.2811,98070,244.058,3.1830000000000496,0,0,0,0,276.356,277.902,0.00489,276.358,99.8,-7.99243,-0.831881,8.37315,-8.33133,-0.590797,-50,0,0,0,0,0,0.0914,0.68,-1,-10,-4,12,0,0,0,329.7,0,309.161,0,0,339.234
2018-12-01 03:00:00,2018-12-01 12:00:00,2018-12-01 07:00:00,4900,13.4306,98050,244.058,3.640000000000043,0,0,0,0,277.001,278.557,0.00501,276.708,97.3,-6.60513,0.743008,7.478,-7.4917,-0.294697,0,0.0007,0,0,0,1,0.0914,0.56,-11,0,-12,12,0,0,0,334.6,0,311.217,0,0,296.909
2018-12-01 04:00:00,2018-12-01 13:00:00,2018-12-01 08:00:00,4600,12.1122,97970,244.058,3.712000000000046,0.1,0,0,0,277.128,278.759,0.00504,276.78,96.9,-6.76513,-0.209124,7.22021,-7.09064,-1.33412,0,0.0012,0,0,0,1,0.0914,0.57,-14,0,-13,12,0,0,0,332.8,0,311.497,0,0,450.273
2018-12-01 05:00:00,2018-12-01 14:00:00,2018-12-01 09:00:00,8400,13.5784,97880,244.058,4.225000000000023,0.1,0,0,0,277.607,279.373,0.0052,277.217,96.2,-7.32874,0.0359573,8.49165,-8.50869,-0.504845,0,0.0004,0,0,0,1,0.0914,0.62,-15,0,-23,12,0,0,17.6,333.8,1.875,313.788,0,17.6,467.541
2018-12-01 06:00:00,2018-12-01 15:00:00,2018-12-01 10:00:00,3100,14.3165,97860,244.058,5.3250000000000455,0.2,0,0,0,278.615,280.361,0.00556,278.167,96,-8.11493,-0.0957661,8.67056,-8.64275,-0.636595,0,0.0022,0,0,0,1,0.0914,0.69,-12,10,-38,12,0,0,43.4,338.8,4.75,318.652,0,43.4,456.192
2018-12-01 07:00:00,2018-12-01 16:00:00,2018-12-01 11:00:00,4600,20.1546,97580,244.058,6.609000000000037,0.2,0,0,0,279.561,281.574,0.00592,279.028,96,-10.4717,2.72129,11.5966,-11.5122,1.30474,0,0.0011,0,0,0,1,0.0914,0.93,11,40,-67,12,0,0,144.1,344.1,15.625,324.701,0,144.1,463.7
2018-12-01 08:00:00,2018-12-01 17:00:00,2018-12-01 12:00:00,12200,15.917,97540,244.058,7.594000000000051,0.3,0,0,0,280.574,282.596,0.00631,279.941,95.4,-8.49313,1.25907,9.41605,-9.31445,1.35771,0,0.0001,0,0,0,1,0.0914,0.73,7,30,-82,12,0,0,154.4,346.6,16.75,329.275,0,154.4,476.469
2018-12-01 09:00:00,2018-12-01 18:00:00,2018-12-01 13:00:00,12200,15.232,97400,244.058,8.040999999999997,0.2,0,0,0,281.527,283.666,0.00675,280.883,94.7,-7.93454,3.12905,10.4357,-10.2669,1.87905,-50,0,0,0,0,1,0.0914,0.72,-21,10,-46,12,0,0,42.8,353.4,4.625,331.518,0,42.8,452.212
