raw_timestamp,timestamp_fcst,timestamp_est,VIS_surface_anl,GUST_surface_anl,PRES_surface_anl,HGT_surface_anl,TMP_surface_anl,CNWAT_surface_anl,WEASD_surface_anl,SNOWC_surface_anl,SNOD_surface_anl,TMP_2 m above ground_anl,POT_2 m above ground_anl,SPFH_2 m above ground_anl,DPT_2 m above ground_anl,RH_2 m above ground_anl,UGRD_10 m above ground_anl,VGRD_10 m above ground_anl,WIND_10 m above ground_0-0 day max fcst,MAXUW_10 m above ground_0-0 day max fcst,MAXVW_10 m above ground_0-0 day max fcst,CPOFP_surface_anl,PRATE_surface_anl,CSNOW_surface_anl,CICEP_surface_anl,CFRZR_surface_anl,CRAIN_surface_anl,SFCR_surface_anl,FRICV_surface_anl,SHTFL_surface_anl,LHTFL_surface_anl,GFLUX_surface_anl,VGTYP_surface_anl,CAPE_surface_anl,CIN_surface_anl,DSWRF_surface_anl,DLWRF_surface_anl,USWRF_surface_anl,ULWRF_surface_anl,VBDSF_surface_anl,VDDSF_surface_anl,HPBL_surface_anl
2018-12-01,2018-12-01,2018-11-30 19:00:00,13800,5.79461,98890,230.714,5.1790000000000305,0,0,0,0,278.552,279.48,0.00522,277.385,90.6,-1.72286,-0.766813,1.93971,-1.72286,-0.766813,-50,0,0,0,0,0,0.5,0.1,-4,3,-10,13,0,0,0,335.2,0,299.54,0,0,80.5183
2018-12-01 01:00:00,2018-12-01 01:00:00,2018-11-30 20:00:00,13100,6.17449,98930,230.714,5.295000000000016,0,0,0,0,278.459,279.334,0.00519,277.312,91.7,-2.37079,-0.800751,2.50599,-2.37079,-0.800751,-50,0,0,0,0,0,0.5,0.18,-2,8,-10,13,0,0,0,341.5,0,299.845,0,0,74.6842
2018-12-01 02:00:00,2018-12-01 02:00:00,2018-11-30 21:00:00,300,6.54492,98950,230.714,5.076999999999998,0,0,0,0,278.05,278.889,0.00522,277.453,96,-3.06093,-0.499865,3.12776,-3.06093,-0.499865,-50,0,0,0,0,0,0.5,0.24,6,8,-10,13,0,0,0,337.2,0,299.049,0,0,107.865
2018-12-01 03:00:00,2018-12-01 03:00:00,2018-11-30 22:00:00,300,6.70041,98900,230.714,4.949000000000012,0,0,0,0,278.122,279.048,0.00525,277.505,95.2,-2.85905,-0.54459,2.93843,-2.85905,-0.54459,-50,0,0,0,0,0,0.5,0.22,-2,5,0,13,0,0,0,337.7,0,298.444,0,0,121.537
2018-12-01 04:00:00,2018-12-01 04:00:00,2018-11-30 23:00:00,1400,7.08824,98850,230.714,5.040999999999997,0,0,0,0,278.213,279.163,0.00532,277.686,95.6,-2.51302,0.00118065,2.50366,-2.51302,0.00118065,-50,0,0,0,0,0,0.5,0.19,-2,3,0,13,0,0,0,338,0,298.674,0,0,153.181
2018-12-01 05:00:00,2018-12-01 05:00:00,2018-12-01,1400,7.45921,98810,230.714,5.2000000000000455,0,0,0,0,278.409,279.416,0.00541,277.903,95.8,-2.71231,0.214487,2.75501,-2.71231,0.214487,-50,0,0,0,0,0,0.5,0.21,-3,3,0,13,0,0,0,338.5,0,299.468,0,0,282.105
2018-12-01 06:00:00,2018-12-01 06:00:00,2018-12-01 01:00:00,1400,6.92464,98750,230.714,5.382000000000005,0,0,0,0,278.653,279.675,0.00545,278.011,94.8,-2.90362,0.116785,2.94073,-2.90362,0.116785,-50,0,0,0,0,0,0.5,0.22,-5,4,0,13,0,0,0,339.2,0,300.125,0,0,269.651
2018-12-01 07:00:00,2018-12-01 07:00:00,2018-12-01 02:00:00,300,9.43026,98600,230.714,5.43100000000004,0,0,0,0,278.705,279.844,0.00546,278.015,94.6,-3.749,-0.398335,3.75093,-3.749,-0.398335,-50,0,0,0,0,0,0.5,0.29,-5,6,0,13,0,0,0,340,0,300.653,0,0,186.354
2018-12-01 08:00:00,2018-12-01 08:00:00,2018-12-01 03:00:00,1400,10.24,98520,230.714,5.426000000000045,0,0,0,0,278.659,279.852,0.00546,278,94.8,-3.61107,-0.8922,3.6899,-3.61107,-0.8922,-50,0,0,0,0,0,0.5,0.28,-4,6,0,13,0,0,0,339.4,0,300.655,0,0,156.836
2018-12-01 09:00:00,2018-12-01 09:00:00,2018-12-01 04:00:00,12200,9.92146,98410,230.714,5.374000000000024,0,0,0,0,278.579,279.867,0.00547,277.993,95.5,-3.90192,-0.994516,4.06361,-3.90192,-0.994516,-50,0,0,0,0,0,0.5,0.31,-4,5,0,13,0,0,0,339.5,0,300.164,0,0,161.129
2018-12-01 10:00:00,2018-12-01 10:00:00,2018-12-01 05:00:00,12200,13.499,98200,230.714,5.362000000000023,0,0,0,0,278.58,280.05,0.00543,277.847,94.9,-5.52913,-2.17241,6.00128,-5.52913,-2.17241,-50,0,0,0,0,0,0.5,0.46,-2,10,-10,13,0,0,0,342.8,0,300.333,0,0,112.205
2018-12-01 11:00:00,2018-12-01 11:00:00,2018-12-01 06:00:00,7800,11.3239,98180,230.714,5.43100000000004,0,0,0,0,278.696,280.174,0.00555,278.18,95.6,-4.7682,0.146906,4.81368,-4.7682,0.146906,-50,0,0,0,0,0,0.5,0.37,-8,6,-10,13,0,0,0,340.3,0,300.397,0,0,166.439
2018-12-01 12:00:00,2018-12-01 12:00:00,2018-12-01 07:00:00,10700,12.5718,98050,230.714,5.5750000000000455,0.1,0,0,0,279.185,280.751,0.00569,278.495,94.3,-5.83378,0.897221,5.93989,-5.83378,0.897221,-50,0,0,0,0,0,0.5,0.45,-23,3,-20,13,0,0,0,343.9,0,301.241,0,0,122.255
2018-12-01 13:00:00,2018-12-01 13:00:00,2018-12-01 08:00:00,12300,15.0459,98030,230.714,5.7549999999999955,0.1,0,0,0,279.602,281.238,0.0059,278.987,94.1,-5.69254,2.05401,6.06478,-5.69254,2.05401,-50,0,0,0,0,0,0.5,0.46,-39,-11,-20,13,0,0,0.2,348.9,0,301.823,0,0.2,158.581
2018-12-01 14:00:00,2018-12-01 14:00:00,2018-12-01 09:00:00,9000,15.2126,97960,230.714,6.684000000000026,0.2,0,0,0,280.175,281.839,0.00618,279.66,95.9,-5.07093,1.12404,5.19386,-5.07093,1.12404,-50,0,0,0,0,0,0.5,0.4,-16,1,-20,13,0,0,0.8,347.9,0.125,305.944,0,0.8,227.489
2018-12-01 15:00:00,2018-12-01 15:00:00,2018-12-01 10:00:00,12600,11.668,97880,230.714,7.471000000000004,0.3,0,0,0,281.215,282.921,0.00652,280.474,93.4,-4.10738,2.34939,4.69173,-4.10738,2.34939,-50,0,0,0,0,0,0.5,0.35,-26,1,-20,13,0,0,2.7,354.9,0.375,309.448,0,2.7,170.428
2018-12-01 16:00:00,2018-12-01 16:00:00,2018-12-01 11:00:00,12600,12.779,97770,230.714,8.615000000000009,0.3,0,0,0,282.042,283.844,0.00686,281.16,93.6,-4.15196,1.9609,4.62698,-4.15196,1.9609,-50,0,0,0,0,0,0.5,0.35,-11,13,-10,13,0,0,2.3,358.3,0.25,314.605,0,2.3,172.2
2018-12-01 17:00:00,2018-12-01 17:00:00,2018-12-01 12:00:00,12400,15.0638,97610,230.714,9.200000000000045,0.3,0,0,0,282.736,284.734,0.00725,281.951,93.6,-4.33067,2.97493,5.25306,-4.33067,2.97493,-50,0,0,0,0,0,0.5,0.4,-19,8,-30,13,0,0,7.6,359.8,1,317.222,0,7.6,255.087
2018-12-01 18:00:00,2018-12-01 18:00:00,2018-12-01 13:00:00,12200,13.4664,97460,230.714,10.242999999999995,0.3,0,0,0,283.684,285.817,0.00788,283.171,95.7,-3.84186,3.30529,5.0633,-3.84186,3.30529,-50,0,0,0,0,0,0.5,0.39,-15,0,-20,13,0,0,9.8,363,1.25,321.811,0,9.8,265.784
2018-12-01 19:00:00,2018-12-01 19:00:00,2018-12-01 14:00:00,12400,11.1523,97240,230.714,11.668000000000006,0.3,0,0,0,284.963,287.221,0.00839,284.05,93.8,-2.84402,4.07076,4.94381,-2.84402,4.07076,-50,0,0,0,0,0,0.5,0.38,-8,20,-40,13,0,0,41.1,368.6,5.375,328.234,0,41.1,299.435
2018-12-01 20:00:00,2018-12-01 20:00:00,2018-12-01 15:00:00,12500,15.4558,97260,230.714,12.052999999999997,0.3,0,0,0,285.446,287.748,0.00869,284.586,93.6,-2.96424,6.03141,6.69058,-2.96424,6.03141,-50,0,0,0,0,0,0.5,0.51,-18,16,-30,13,0,0,4.8,360.6,0.625,330.024,0,4.8,195.42
2018-12-01 21:00:00,2018-12-01 21:00:00,2018-12-01 16:00:00,12200,12.5353,97100,230.714,12.301000000000045,0.3,0,0,0,285.589,288.027,0.0088,284.739,94.4,-3.68669,4.92166,6.12998,-3.68669,4.92166,-50,0,0,0,0,0,0.5,0.47,-7,20,-20,13,0,0,152.9,305.6,19.875,331.279,417,69.1,162.242
2018-12-01 22:00:00,2018-12-01 22:00:00,2018-12-01 17:00:00,13100,10.5424,97120,230.714,12.204000000000008,0.3,0,0,0,285.856,288.252,0.00877,284.699,91.5,-2.73842,3.96418,4.81405,-2.73842,3.96418,-50,0,0,0,0,0,0.5,0.36,-22,10,-30,13,0,0,0.1,375,0,330.766,0,0.1,178.062
2018-12-01 23:00:00,2018-12-01 23:00:00,2018-12-01 18:00:00,12900,10.5394,97080,230.714,12.159000000000049,0.3,0,0,0,285.798,288.279,0.00879,284.744,92,-3.34017,3.9418,5.13032,-3.34017,3.9418,-50,0,0,0,0,0,0.5,0.39,-23,10,-30,13,0,0,0,375.4,0,330.667,0,0,196.535
2018-12-02,2018-12-02,2018-12-01 19:00:00,12600,11.6771,97030,230.714,12.192000000000007,0.3,0,0,0,285.71,288.2,0.00884,284.839,93,-3.96334,3.71315,5.43852,-3.96334,3.71315,-50,0,0,0,0,0,0.5,0.41,-21,10,-30,13,0,0,0,375.1,0,330.69,0,0,190.285
2018-12-02 01:00:00,2018-12-02 01:00:00,2018-12-01 20:00:00,12600,11.7033,96970,230.714,12.257000000000005,0.3,0,0,0,285.915,288.491,0.00896,285.025,92.8,-3.14475,3.94072,5.00456,-3.14475,3.94072,-50,0,0,0,0,0,0.5,0.38,-24,10,-30,13,0,0,0,376.9,0,331.179,0,0,187.045
2018-12-02 02:00:00,2018-12-02 02:00:00,2018-12-01 21:00:00,13100,11.6056,96930,230.714,12.799000000000035,0.4,0,0,0,286.596,289.18,0.00927,285.528,91.6,-1.99026,4.18841,4.62854,-1.99026,4.18841,-50,0,0,0,0,0,0.5,0.35,-26,10,-30,13,40,-60,0,379.7,0,333.682,0,0,197.788
