raw_timestamp,timestamp_fcst,timestamp_est,VIS_surface_anl,GUST_surface_anl,PRES_surface_anl,HGT_surface_anl,TMP_surface_anl,CNWAT_surface_anl,WEASD_surface_anl,SNOWC_surface_anl,SNOD_surface_anl,TMP_2 m above ground_anl,POT_2 m above ground_anl,SPFH_2 m above ground_anl,DPT_2 m above ground_anl,RH_2 m above ground_anl,UGRD_10 m above ground_anl,VGRD_10 m above ground_anl,WIND_10 m above ground_0-0 day max fcst,MAXUW_10 m above ground_0-0 day max fcst,MAXVW_10 m above ground_0-0 day max fcst,CPOFP_surface_anl,PRATE_surface_anl,CSNOW_surface_anl,CICEP_surface_anl,CFRZR_surface_anl,CRAIN_surface_anl,SFCR_surface_anl,FRICV_surface_anl,SHTFL_surface_anl,LHTFL_surface_anl,GFLUX_surface_anl,VGTYP_surface_anl,CAPE_surface_anl,CIN_surface_anl,DSWRF_surface_anl,DLWRF_surface_anl,USWRF_surface_anl,ULWRF_surface_anl,VBDSF_surface_anl,VDDSF_surface_anl,HPBL_surface_anl
2018-12-01,2018-12-01,2018-11-30 19:00:00,200,4.66961,97740,332.62,4.4290000000000305,0,0,0,0,277.365,279.167,0.00511,276.947,97.3,-2.84786,-0.829313,2.93971,-2.84786,-0.829313,-50,0,0,0,0,0,0.0872,0.19,5,6,0,12,0,0,0,334,0,314.665,0,0,95.7058
2018-12-01 01:00:00,2018-12-01 01:00:00,2018-11-30 20:00:00,200,5.36199,97770,332.62,4.045000000000016,0,0,0,0,277.022,278.834,0.00501,276.625,97.4,-3.49579,-0.613251,3.56849,-3.49579,-0.613251,-50,0,0,0,0,0,0.0869,0.22,5,6,0,12,0,0,0,333.3,0,313.095,0,0,86.3717
2018-12-01 02:00:00,2018-12-01 02:00:00,2018-11-30 21:00:00,200,6.41992,97790,332.62,3.951999999999998,0,0,0,0,276.863,278.702,0.00497,276.578,97.9,-3.49843,-0.562365,3.50276,-3.49843,-0.562365,-50,0,0,0,0,0,0.0869,0.22,5,5,0,12,0,0,0,332.4,0,312.424,0,0,125.74
2018-12-01 03:00:00,2018-12-01 03:00:00,2018-11-30 22:00:00,200,7.45041,97760,332.62,3.8870000000000005,0,0,0,0,276.997,278.798,0.00504,276.755,98.2,-3.79655,0.08041,3.75093,-3.79655,0.08041,-50,0,0,0,0,0,0.0869,0.24,1,3,0,12,0,0,0,332.6,0,312.319,0,0,200.6
2018-12-01 04:00:00,2018-12-01 04:00:00,2018-11-30 23:00:00,200,7.96324,97690,332.62,3.979000000000042,0,0,0,0,277.088,278.975,0.00507,276.811,98.2,-3.88802,0.376181,3.87866,-3.88802,0.376181,-50,0,0,0,0,0,0.0869,0.24,1,3,0,12,0,0,0,332.5,0,312.674,0,0,189.306
2018-12-01 05:00:00,2018-12-01 05:00:00,2018-12-01,200,8.14671,97660,332.62,3.9500000000000455,0,0,0,0,277.034,278.916,0.00506,276.778,98.3,-4.64981,0.0269871,4.63001,-4.64981,0.0269871,-50,0,0,0,0,0,0.0869,0.29,2,3,10,12,0,0,0,331.4,0,312.468,0,0,149.917
2018-12-01 06:00:00,2018-12-01 06:00:00,2018-12-01 01:00:00,300,8.86214,97610,332.62,3.882000000000005,0,0,0,0,276.903,278.8,0.005,276.636,98,-5.15362,0.679285,5.19073,-5.15362,0.679285,-50,0,0,0,0,0,0.0869,0.33,4,6,10,12,0,0,0,331.9,0,312.125,0,0,134.714
2018-12-01 07:00:00,2018-12-01 07:00:00,2018-12-01 02:00:00,200,9.24276,97510,332.62,3.80600000000004,0,0,0,0,276.893,278.907,0.00498,276.515,97.2,-5.374,0.226665,5.37593,-5.374,0.226665,-50,0,0,0,0,0,0.0869,0.34,1,6,10,12,0,0,0,332,0,311.903,0,0,118.542
2018-12-01 08:00:00,2018-12-01 08:00:00,2018-12-01 03:00:00,200,10.115,97430,332.62,3.9260000000000446,0,0,0,0,277.097,279.227,0.00508,276.812,97.4,-5.73607,-0.1422,5.7524,-5.73607,-0.1422,-50,0,0,0,0,0,0.0869,0.36,-2,4,0,12,0,0,0,333.7,0,312.53,0,0,128.398
2018-12-01 09:00:00,2018-12-01 09:00:00,2018-12-01 04:00:00,200,12.1715,97300,332.62,3.9990000000000236,0,0,0,0,277.079,279.305,0.00508,276.806,97.7,-6.90192,0.192984,6.87611,-6.90192,0.192984,-50,0,0,0,0,0,0.0869,0.43,2,6,0,12,0,0,0,333.5,0,312.789,0,0,118.754
