raw_timestamp,timestamp_fcst,timestamp_est,VIS_surface_anl,GUST_surface_anl,PRES_surface_anl,HGT_surface_anl,TMP_surface_anl,CNWAT_surface_anl,WEASD_surface_anl,SNOWC_surface_anl,SNOD_surface_anl,TMP_2 m above ground_anl,POT_2 m above ground_anl,SPFH_2 m above ground_anl,DPT_2 m above ground_anl,RH_2 m above ground_anl,UGRD_10 m above ground_anl,VGRD_10 m above ground_anl,WIND_10 m above ground_0-0 day max fcst,MAXUW_10 m above ground_0-0 day max fcst,MAXVW_10 m above ground_0-0 day max fcst,CPOFP_surface_anl,PRATE_surface_anl,CSNOW_surface_anl,CICEP_surface_anl,CFRZR_surface_anl,CRAIN_surface_anl,SFCR_surface_anl,FRICV_surface_anl,SHTFL_surface_anl,LHTFL_surface_anl,GFLUX_surface_anl,VGTYP_surface_anl,CAPE_surface_anl,CIN_surface_anl,DSWRF_surface_anl,DLWRF_surface_anl,USWRF_surface_anl,ULWRF_surface_anl,VBDSF_surface_anl,VDDSF_surface_anl,HPBL_surface_anl
2018-12-01,2018-12-01,2018-11-30 19:00:00,13400,5.73211,98950,224.495,5.1790000000000305,0,0,0,0,278.302,279.167,0.00511,277.135,91.7,-1.84786,-0.954313,2.12721,-1.84786,-0.954313,-50,0,0,0,0,0,0.1268,0.14,0,7,10,14,0,0,0,339.6,0,313.165,0,0,90.4558
2018-12-01 01:00:00,2018-12-01 01:00:00,2018-11-30 20:00:00,13600,6.79949,98980,224.495,5.545000000000016,0,0,0,0,278.772,279.584,0.00519,277.312,90.2,-3.12079,-1.30075,3.38099,-3.12079,-1.30075,-50,0,0,0,0,0,0.1266,0.23,-1,12,-10,14,0,0,0,343.7,0,314.845,0,0,68.3092
2018-12-01 02:00:00,2018-12-01 02:00:00,2018-11-30 21:00:00,300,7.35742,98990,224.495,5.451999999999998,0,0,0,0,278.55,279.389,0.00536,277.828,95,-3.99843,-1.06236,4.12776,-3.99843,-1.06236,-50,0,0,0,0,0,0.1266,0.28,3,9,0,14,0,0,0,340,0,314.424,0,0,78.1148
2018-12-01 03:00:00,2018-12-01 03:00:00,2018-11-30 22:00:00,300,7.38791,98950,224.495,5.449000000000012,0,0,0,0,278.559,279.423,0.00541,277.942,95.2,-3.92155,-1.10709,4.06343,-3.92155,-1.10709,-50,0,0,0,0,0,0.1266,0.27,-1,6,0,14,0,0,0,340,0,314.194,0,0,125.287
2018-12-01 04:00:00,2018-12-01 04:00:00,2018-11-30 23:00:00,1400,7.46324,98900,224.495,5.540999999999997,0,0,0,0,278.775,279.663,0.0055,278.186,95.3,-3.63802,-0.436319,3.62866,-3.63802,-0.436319,-50,0,0,0,0,0,0.1266,0.25,-3,5,10,14,0,0,0,340.5,0,314.674,0,0,151.556
2018-12-01 05:00:00,2018-12-01 05:00:00,2018-12-01,1400,9.58421,98850,224.495,5.7000000000000455,0,0,0,0,278.971,279.916,0.00559,278.341,95.6,-3.83731,-0.160513,3.81751,-3.83731,-0.160513,-50,0,0,0,0,0,0.1266,0.26,-3,5,10,14,0,0,0,340.5,0,315.468,0,0,272.355
2018-12-01 06:00:00,2018-12-01 06:00:00,2018-12-01 01:00:00,1400,9.54964,98760,224.495,5.94500000000005,0,0,0,0,279.216,280.238,0.00565,278.511,94.6,-4.21612,-0.383215,4.25323,-4.21612,-0.383215,-50,0,0,0,0,0,0.1266,0.29,-6,6,10,14,0,0,0,341.7,0,316.5,0,0,276.964
2018-12-01 07:00:00,2018-12-01 07:00:00,2018-12-01 02:00:00,300,10.0553,98610,224.495,6.05600000000004,0,0,0,0,279.33,280.469,0.00569,278.578,94.5,-4.874,-0.523335,4.87593,-4.874,-0.523335,-50,0,0,0,0,0,0.1266,0.33,-6,7,10,14,0,0,0,343,0,317.028,0,0,175.917
2018-12-01 08:00:00,2018-12-01 08:00:00,2018-12-01 03:00:00,1400,10.4275,98540,224.495,6.051000000000045,0,0,0,0,279.159,280.352,0.00568,278.562,95.4,-4.98607,-1.3297,5.1899,-4.98607,-1.3297,-50,0,0,0,0,0,0.1266,0.35,-1,8,10,14,0,0,0,341.8,0,316.905,0,0,174.336
2018-12-01 09:00:00,2018-12-01 09:00:00,2018-12-01 04:00:00,12200,10.7965,98410,224.495,5.812000000000012,0,0,0,0,279.017,280.305,0.00564,278.431,95.5,-5.96442,-2.05702,6.31361,-5.96442,-2.05702,-50,0,0,0,0,0,0.1266,0.43,-3,8,0,14,0,0,0,341.7,0,316.039,0,0,152.129
